Elements, Time (ns), Iterations
100, 1079960, 1257
200, 492810, 2889
300, 912720, 4965
400, 1059930, 6797
500, 1456500, 8628
600, 1190230, 10440
700, 1529300, 12337
800, 1451620, 14216
900, 812690, 16089
1000, 910860, 18004
1100, 993600, 19826
1200, 1240120, 22246
1300, 1279130, 25711
1400, 1391020, 27772
1500, 1431700, 30262
1600, 1959810, 32376
1700, 1794530, 34556
1800, 1967050, 36691
1900, 2703330, 38773
2000, 2285940, 40900
2100, 1879910, 43044
2200, 1966690, 45226
2300, 2082130, 47409
2400, 2191180, 49499
2500, 2294020, 51821
2600, 2326640, 53938
2700, 2463770, 56275
2800, 2479440, 58147
2900, 2770720, 60272
3000, 2674150, 62574
3100, 2770290, 64820
3200, 2955710, 66852
3300, 2966950, 69083
3400, 3115090, 71189
3500, 3671110, 73592
3600, 3650610, 75737
3700, 3342460, 77803
3800, 3502510, 80218
3900, 4097040, 82322
4000, 4349400, 89717
4100, 3760200, 86843
4200, 3784930, 88827
4300, 3978260, 91003
4400, 4055430, 93152
4500, 4720310, 95542
4600, 4812110, 106068
4700, 4278460, 99788
4800, 4587100, 108536
4900, 4484630, 104073
5000, 4691380, 114185
5100, 4829770, 117130
5200, 4991710, 120246
5300, 5877270, 121658
5400, 6325740, 125361
5500, 5853780, 127430
5600, 5534160, 129803
5700, 5444460, 132498
5800, 5602950, 134955
5900, 5684440, 137199
6000, 5901150, 139667
6100, 5970540, 142239
6200, 6260650, 145264
6300, 6266320, 147502
6400, 6346220, 149693
6500, 6588060, 152117
6600, 6712490, 154335
6700, 6618760, 156707
6800, 6834860, 159626
6900, 6865610, 161872
7000, 6980820, 164571
7100, 7056250, 166814
7200, 7227830, 169377
7300, 7239450, 171687
7400, 7383160, 174691
7500, 7551170, 176753
7600, 7482440, 179017
7700, 7777930, 181498
7800, 8509080, 184215
7900, 8385050, 186297
8000, 8152620, 188792
8100, 8983340, 191174
8200, 8229910, 193880
8300, 8344720, 196534
8400, 8448980, 199176
8500, 9022760, 201337
8600, 8790200, 203502
8700, 8724030, 205610
8800, 8885980, 208420
8900, 9221120, 211053
9000, 9511460, 213313
9100, 9288950, 216367
9200, 9471100, 218152
9300, 9401800, 220531
9400, 10067390, 223187
9500, 9936800, 225938
9600, 9867090, 228289
9700, 10134410, 230715
9800, 10173140, 233290
9900, 10345650, 235558
10000, 10235830, 237601
